year,avg_sentiment,avg_confidence,sarcasm_rate,review_count,sentiment_ma3,sarcasm_ma3
1900.0,0.4822271562099457,0.4822271562099457,0.5,2,,
1901.0,-0.23269742059707643,0.23269742059707643,1.0,1,0.1401647488117218,0.5
1903.0,0.17096451082229613,0.17096451082229613,0.0,1,-0.10075378955205283,0.6666666666666666
1904.0,-0.2405284588813782,0.2405284588813782,1.0,1,0.11309766764640806,0.6666666666666666
1905.0,0.40885695099830627,0.40885695099830627,1.0,1,0.02964854348500569,0.8333333333333334
1912.0,-0.079382861661911,0.0972802397251129,0.5,2,0.09897777700424194,0.7222222222222222
1913.0,-0.03254075832366943,0.12143040561676026,0.6666666666666666,3,0.24244434952735902,0.7222222222222222
1914.0,0.8392566685676575,0.8392566685676575,1.0,1,0.2437656856894493,0.8055555555555555
1915.0,-0.07541885317564011,0.12366542271375656,0.75,4,0.373064136882623,0.9166666666666666
1918.0,0.3553545952558518,0.5557140199899674,1.0,2,0.04490104423761369,0.9166666666666666
1919.0,-0.1452326093673706,0.1452326093673706,1.0,1,0.03451529075304669,0.8888888888888888
1920.0,-0.10657611362934112,0.4971996235926946,0.6666666666666666,6,-0.08890906120936075,0.7222222222222222
1921.0,-0.014918460631370534,0.9044590270280839,0.5,2,-0.101274893728892,0.7222222222222222
1922.0,-0.18233010692596435,0.18233010692596435,1.0,1,0.18800144935448967,0.8333333333333334
1925.0,0.7612529156208039,0.7612529156208039,1.0,1,0.14058273318409922,0.875
1927.0,-0.1571746091425419,0.21388619696497918,0.625,8,0.18300432596802715,0.7083333333333334
1928.0,-0.05506532857418059,0.05506532857418059,0.5,2,-0.07349479033152262,0.7083333333333334
1929.0,-0.008244433277845395,0.15706943174004556,1.0,4,-0.07220155764283277,0.7564102564102564
1930.0,-0.15329491107647236,0.17577963944948635,0.7692307692307693,13,-0.08305861430030603,0.8397435897435898
1931.0,-0.08763649854660034,0.08763649854660034,0.75,4,0.01970167352694731,0.8397435897435898
1932.0,0.30003643020391463,0.569745923960209,1.0,2,-0.023417496234840813,0.638888888888889
1933.0,-0.28265242036183674,0.3577275673071543,0.16666666666666666,6,0.06819210807614856,0.6388888888888888
1934.0,0.1871923143863678,0.2054446645975113,0.75,4,-0.009833119490411546,0.3055555555555555
1935.0,0.06596074750423431,0.06596074750423431,0.0,2,0.01846076889514923,0.3833333333333333
1936.0,-0.1977707552051544,0.2641904902362823,0.4,5,-0.06594203715642293,0.3833333333333333
1938.0,-0.06601610376834866,0.4557255094766617,0.75,4,-0.12702269996590085,0.5685185185185185
1939.0,-0.11728124092419942,0.1621683115694258,0.5555555555555556,9,-0.09792173551718393,0.6203703703703703
1940.0,-0.1104678618590037,0.2071224321630266,0.5555555555555556,9,-0.12877330278820462,0.48148148148148145
1942.0,-0.15857080558141076,0.21753490079243978,0.3333333333333333,3,-0.0280393229365349,0.5462962962962963
1943.0,0.1849206986308098,0.2511374514698982,0.75,4,-0.05204971022473442,0.611111111111111
1944.0,-0.18249902372360227,0.18249902372360227,0.75,4,-0.01594352201677503,0.5952380952380952
1945.0,-0.050252240957532605,0.2197884020805359,0.2857142857142857,7,0.02469998767035349,0.5833333333333334
1946.0,0.30685122769219536,0.4210846996988569,0.7142857142857143,7,0.12129699720002357,0.6666666666666666
1947.0,0.10729200486540795,0.30627335422635077,1.0,4,0.08126110663593762,0.7936507936507936
1948.0,-0.17035991264979045,0.4598632865905761,0.6666666666666666,6,-0.03338515962693426,0.7222222222222222
1949.0,-0.0370875710964203,0.1051379581451416,0.5,2,-0.03073463423709677,0.616161616161616
1950.0,0.11524358103492044,0.3301083616560156,0.6818181818181818,22,-0.05251200445155905,0.5050505050505051
1951.0,-0.2356920232931773,0.2356920232931773,0.3333333333333333,3,0.05704165296891722,0.6717171717171717
1952.0,0.2915734011650085,0.4366325324058533,1.0,2,0.1196204771965269,0.6825396825396824
1953.0,0.30298005371774944,0.38904854040827075,0.7142857142857143,7,0.2562540845337368,0.7380952380952381
1954.0,0.17420879871845246,0.21869191706180574,0.5,4,0.16600878559975396,0.7380952380952381
1955.0,0.02083750436306,0.15991727221012114,1.0,8,0.04920993493199349,0.625
1956.0,-0.04741649828553199,0.27314526107907294,0.375,8,-0.01994893999298414,0.6805555555555555
1957.0,-0.03326782605648043,0.5733228621403376,0.6666666666666666,6,-0.055760085413285664,0.49007936507936506
1958.0,-0.08659593189784458,0.4414871524129595,0.42857142857142855,7,-0.06975252125802495,0.5317460317460317
1959.0,-0.08939380581974984,0.12637773985266687,0.5,8,-0.073004228001762,0.49702380952380953
1960.0,-0.04302294628769158,0.35746834807544947,0.5625,16,-0.015341605775058257,0.6041666666666666
1961.0,0.08639193478226663,0.27301988329291343,0.75,4,-0.010230073566536093,0.6375000000000001
1962.0,-0.07405920919418334,0.12831681383132934,0.6,5,-0.03525929038802781,0.7833333333333333
1963.0,-0.11811059675216673,0.11811059675216673,1.0,1,0.008013699256579085,0.8666666666666667
1964.0,0.21621090371608734,0.21621090371608734,1.0,2,0.1294756119860543,0.8888888888888888
1965.0,0.2903265289942423,0.30077033344904586,0.6666666666666666,3,0.17278927909665634,0.8472222222222222
1966.0,0.011830404579639416,0.3704392081856728,0.875,8,0.1551322382542822,0.8472222222222222
1967.0,0.16323978118896487,0.22978961775302886,1.0,4,0.05782802497466403,0.8250000000000001
1968.0,-0.0015861108446121209,0.17161618874073029,0.6,10,0.013799843211174001,0.7000000000000001
1969.0,-0.1202541407108307,0.19588598036766053,0.5,10,-0.002115619629489071,0.611111111111111
